2019/06/11 00:40:56 socat[88438] E execvp("./brop", "./brop"): Permission denied
2019/06/12 01:03:08 socat[36629] E write(6, 0xba65d0, 1): Broken pipe
2019/06/12 01:09:29 socat[37805] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 01:10:53 socat[37871] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 01:10:54 socat[37902] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 01:17:39 socat[38055] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 01:22:20 socat[38500] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 01:22:40 socat[38550] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 01:25:25 socat[38845] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 01:26:06 socat[39006] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 01:32:19 socat[39357] E write(6, 0xba65d0, 21): Broken pipe
2019/06/12 02:47:57 socat[44043] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 02:48:02 socat[44246] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 02:48:02 socat[44265] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 02:48:06 socat[44368] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 02:48:06 socat[44391] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 02:48:10 socat[44494] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 02:48:10 socat[44505] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 02:48:10 socat[44528] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 02:48:11 socat[44543] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 02:48:11 socat[44546] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 02:48:14 socat[44661] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 02:48:21 socat[44878] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 02:48:21 socat[44897] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 02:48:23 socat[44936] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 02:48:23 socat[44955] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 02:48:31 socat[45192] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 02:48:32 socat[45227] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 02:48:33 socat[45266] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 02:48:33 socat[45269] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 02:48:34 socat[45292] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 02:48:34 socat[45299] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 02:48:35 socat[45334] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 02:48:35 socat[45357] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 02:48:36 socat[45376] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 02:48:39 socat[45466] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 02:48:39 socat[45478] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 02:48:42 socat[45527] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 02:48:43 socat[45562] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 02:48:44 socat[45593] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 02:51:51 socat[45726] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 02:51:51 socat[45733] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 02:51:52 socat[45752] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 02:51:52 socat[45759] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 02:51:52 socat[45766] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 02:51:52 socat[45789] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 02:53:41 socat[45892] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 02:55:00 socat[45976] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 02:56:37 socat[45997] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 02:56:37 socat[46000] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:00:46 socat[46144] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:01:24 socat[46213] E write(6, 0xba65d0, 1): Broken pipe
2019/06/12 03:08:32 socat[46414] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:10:46 socat[46486] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:12:16 socat[46547] E write(6, 0xba65d0, 39): Broken pipe
2019/06/12 03:12:44 socat[46560] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:13:44 socat[46911] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:22:26 socat[47726] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:22:55 socat[47760] E write(6, 0xba65d0, 21): Broken pipe
2019/06/12 03:34:43 socat[48093] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:36:10 socat[48114] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:36:45 socat[48134] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:37:18 socat[48173] E write(6, 0xba65d0, 21): Broken pipe
2019/06/12 03:37:56 socat[48187] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:37:56 socat[48198] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:37:56 socat[48201] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:37:56 socat[48204] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:37:56 socat[48207] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:37:56 socat[48210] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:37:56 socat[48213] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:37:56 socat[48216] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:25 socat[48249] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:25 socat[48252] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:25 socat[48255] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:25 socat[48266] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:25 socat[48269] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:25 socat[48272] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:25 socat[48275] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:25 socat[48278] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:25 socat[48281] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:25 socat[48284] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:25 socat[48287] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:25 socat[48294] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:25 socat[48297] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:25 socat[48308] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:25 socat[48331] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:34 socat[49306] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:37 socat[49559] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:41 socat[49898] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:41 socat[49901] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:41 socat[49904] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:41 socat[49907] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:41 socat[49913] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:41 socat[49917] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:43 socat[50172] E write(6, 0xba65d0, 1): Broken pipe
2019/06/12 03:41:43 socat[50175] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:43 socat[50178] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:45 socat[50357] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:50 socat[50872] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:50 socat[50919] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50922] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50925] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50928] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50931] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50934] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50941] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50944] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50947] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50954] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50957] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50960] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50963] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50966] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50969] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50972] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50975] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50978] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50981] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50984] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50987] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50998] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51001] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51004] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51007] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51010] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51013] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51019] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51023] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51026] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51029] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51032] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51035] E write(6, 0xba65d0, 20): Broken pipe
